heuristic,prune,depth,nodes_expanded
0,0,2,22
0,0,4,110
0,0,6,1397
0,0,8,8693
0,0,10,40293
0,0,12,108434
0,0,2,9
0,0,4,132
0,0,6,995
0,0,8,5548
0,0,10,19517
0,0,12,34344
0,0,2,22
0,0,4,155
0,0,6,1308
0,0,8,9250
0,0,10,42768
0,0,12,108505
0,1,2,9
0,1,4,40
0,1,6,180
0,1,8,888
0,1,10,2026
0,1,12,934
0,1,2,22
0,1,4,67
0,1,6,538
0,1,8,1574
0,1,10,2654
0,1,12,3447
0,0,2,9
0,0,4,132
0,0,6,995
0,0,8,5548
0,0,10,19517
0,0,12,34344
0,1,2,22
0,1,4,94
0,1,6,526
0,1,8,2292
0,1,10,5018
0,1,12,3477
0,1,2,9
0,1,4,40
0,1,6,180
0,1,8,824
0,1,10,1962
0,1,12,934
0,0,2,17
0,0,4,168
0,0,6,1397
0,0,8,8693
0,0,10,40293
0,0,12,108434
1,0,2,13
1,0,4,78
1,0,6,995
1,0,8,5548
1,0,10,19517
1,0,12,34344
0,0,2,17
0,0,4,168
0,0,6,1308
0,0,8,9250
0,0,10,42768
0,0,12,108505
1,1,2,13
1,1,4,64
1,1,6,282
1,1,8,1266
1,1,10,2015
1,1,12,934
0,1,2,17
0,1,4,120
0,1,6,538
0,1,8,1574
0,1,10,2654
0,1,12,3447
1,0,2,13
1,0,4,78
1,0,6,995
1,0,8,5548
1,0,10,19517
1,0,12,34344
0,1,2,17
0,1,4,120
0,1,6,526
0,1,8,2292
0,1,10,5018
0,1,12,3477
1,1,2,13
1,1,4,64
1,1,6,282
1,1,8,1202
1,1,10,1951
1,1,12,934
0,0,2,17
0,0,4,110
0,0,6,1397
0,0,8,8693
0,0,10,40293
0,0,12,108434
2,0,2,13
2,0,4,132
2,0,6,995
2,0,8,5548
2,0,10,19517
2,0,12,34344
0,0,2,17
0,0,4,168
0,0,6,1384
0,0,8,9250
0,0,10,42768
0,0,12,108505
2,1,2,13
2,1,4,57
2,1,6,515
2,1,8,1081
2,1,10,2193
2,1,12,934
0,1,2,17
0,1,4,67
0,1,6,538
0,1,8,1574
0,1,10,2654
0,1,12,3447
2,0,2,13
2,0,4,132
2,0,6,995
2,0,8,5548
2,0,10,19517
2,0,12,34344
0,1,2,17
0,1,4,120
0,1,6,526
0,1,8,2292
0,1,10,5018
0,1,12,3477
2,1,2,13
2,1,4,57
2,1,6,515
2,1,8,1017
2,1,10,2129
2,1,12,934
1,0,2,21
1,0,4,191
1,0,6,1397
1,0,8,8693
1,0,10,40293
1,0,12,108434
0,0,2,13
0,0,4,152
0,0,6,995
0,0,8,5548
0,0,10,19517
0,0,12,34344
1,0,2,21
1,0,4,155
1,0,6,1308
1,0,8,9250
1,0,10,42768
1,0,12,108505
0,1,2,13
0,1,4,40
0,1,6,180
0,1,8,888
0,1,10,2026
0,1,12,934
1,1,2,21
1,1,4,140
1,1,6,594
1,1,8,1478
1,1,10,2841
1,1,12,3448
0,0,2,13
0,0,4,152
0,0,6,995
0,0,8,5548
0,0,10,19517
0,0,12,34344
1,1,2,21
1,1,4,111
1,1,6,560
1,1,8,2239
1,1,10,4858
1,1,12,3478
0,1,2,13
0,1,4,40
0,1,6,180
0,1,8,824
0,1,10,1962
0,1,12,934
1,0,2,20
1,0,4,211
1,0,6,1397
1,0,8,8693
1,0,10,40293
1,0,12,108434
1,0,2,11
1,0,4,82
1,0,6,995
1,0,8,5548
1,0,10,19517
1,0,12,34344
1,0,2,20
1,0,4,211
1,0,6,1308
1,0,8,9250
1,0,10,42768
1,0,12,108505
1,1,2,11
1,1,4,64
1,1,6,282
1,1,8,1266
1,1,10,2015
1,1,12,934
1,1,2,20
1,1,4,142
1,1,6,594
1,1,8,1478
1,1,10,2841
1,1,12,3448
1,0,2,11
1,0,4,84
1,0,6,995
1,0,8,5548
1,0,10,19517
1,0,12,34344
1,1,2,20
1,1,4,142
1,1,6,560
1,1,8,2239
1,1,10,4858
1,1,12,3478
1,1,2,11
1,1,4,66
1,1,6,282
1,1,8,1202
1,1,10,1951
1,1,12,934
1,0,2,20
1,0,4,191
1,0,6,1397
1,0,8,8693
1,0,10,40293
1,0,12,108434
2,0,2,11
2,0,4,152
2,0,6,995
2,0,8,5548
2,0,10,19517
2,0,12,34344
1,0,2,20
1,0,4,211
1,0,6,1384
1,0,8,9250
1,0,10,42768
1,0,12,108505
2,1,2,11
2,1,4,57
2,1,6,515
2,1,8,1081
2,1,10,2193
2,1,12,934
1,1,2,20
1,1,4,140
1,1,6,594
1,1,8,1478
1,1,10,2841
1,1,12,3448
2,0,2,11
2,0,4,152
2,0,6,995
2,0,8,5548
2,0,10,19517
2,0,12,34344
1,1,2,20
1,1,4,142
1,1,6,582
1,1,8,2239
1,1,10,4858
1,1,12,3478
2,1,2,11
2,1,4,59
2,1,6,515
2,1,8,1017
2,1,10,2129
2,1,12,934
2,0,2,21
2,0,4,191
2,0,6,1397
2,0,8,8693
2,0,10,40293
2,0,12,108434
0,0,2,13
0,0,4,152
0,0,6,995
0,0,8,5548
0,0,10,19517
0,0,12,34344
2,0,2,21
2,0,4,155
2,0,6,1308
2,0,8,9250
2,0,10,42768
2,0,12,108505
0,1,2,13
0,1,4,40
0,1,6,180
0,1,8,888
0,1,10,2026
0,1,12,934
2,1,2,21
2,1,4,148
2,1,6,671
2,1,8,1798
2,1,10,3045
2,1,12,3676
0,0,2,13
0,0,4,152
0,0,6,995
0,0,8,5548
0,0,10,19517
0,0,12,34344
2,1,2,21
2,1,4,113
2,1,6,586
2,1,8,2592
2,1,10,5357
2,1,12,3706
0,1,2,13
0,1,4,40
0,1,6,180
0,1,8,824
0,1,10,1962
0,1,12,934
2,0,2,20
2,0,4,211
2,0,6,1397
2,0,8,8693
2,0,10,40293
2,0,12,108434
1,0,2,11
1,0,4,82
1,0,6,995
1,0,8,5548
1,0,10,19517
1,0,12,34344
2,0,2,20
2,0,4,211
2,0,6,1308
2,0,8,9250
2,0,10,42768
2,0,12,108505
1,1,2,11
1,1,4,64
1,1,6,282
1,1,8,1266
1,1,10,2015
1,1,12,934
2,1,2,20
2,1,4,143
2,1,6,671
2,1,8,1798
2,1,10,3045
2,1,12,3676
1,0,2,11
1,0,4,84
1,0,6,995
1,0,8,5548
1,0,10,19517
1,0,12,34344
2,1,2,20
2,1,4,143
2,1,6,586
2,1,8,2592
2,1,10,5357
2,1,12,3706
1,1,2,11
1,1,4,66
1,1,6,282
1,1,8,1202
1,1,10,1951
1,1,12,934
2,0,2,20
2,0,4,191
2,0,6,1397
2,0,8,8693
2,0,10,40293
2,0,12,108434
2,0,2,11
2,0,4,152
2,0,6,995
2,0,8,5548
2,0,10,19517
2,0,12,34344
2,0,2,20
2,0,4,211
2,0,6,1384
2,0,8,9250
2,0,10,42768
2,0,12,108505
2,1,2,11
2,1,4,57
2,1,6,515
2,1,8,1081
2,1,10,2193
2,1,12,934
2,1,2,20
2,1,4,148
2,1,6,671
2,1,8,1798
2,1,10,3045
2,1,12,3676
2,0,2,11
2,0,4,152
2,0,6,995
2,0,8,5548
2,0,10,19517
2,0,12,34344
2,1,2,20
2,1,4,143
2,1,6,659
2,1,8,2592
2,1,10,5357
2,1,12,3706
2,1,2,11
2,1,4,59
2,1,6,515
2,1,8,1017
2,1,10,2129
2,1,12,934
